questionId,parentClipId,ambiguity,severity,baseline,category,parents
5,15,4,1,1,Sensitivity,-1
6,15,4,1,7,Intervention,5
7,21,4,1,1,Sensitivity,-1
8,21,4,1,1,Awareness,-1
9,21,4,1,6,Intervention,-1
10,17,4,1,2,Sensitivity,-1
11,17,4,1,2,Awareness,-1
12,17,4,1,7,Intervention,-1
13,18,4,1,3,Factual,-1
14,19,4,1,2,Sensitivity,-1
15,19,4,1,7,Intervention,14
16,22,4,1,4,Sensitivity,-1
17,22,4,1,2,Awareness,-1
21,9,4,1,2,Sensitivity,-1
22,9,4,1,2,Sanction,-1
31,15,4,1,3,Factual,"5,6"
32,21,4,1,3,Intervention,"7,8,9"
33,15,4,1,4,Factual,"5,6,31"
35,25,4,1,1,Awareness,-1
37,24,4,1,2,Sensitivity,37
38,24,4,1,2,Awareness,-1
39,26,4,1,6,Sensitivity,-1
40,27,4,1,1,Awareness,-1
41,27,4,1,1,Awareness,41
42,23,4,1,4,Sensitivity,-1
43,23,4,1,3,Awareness,-1
44,23,4,1,4,Intervention,"42,43"
45,29,4,1,4,Sensitivity,-1
46,25,4,1,1,Sensitivity,35
47,25,4,1,1,Awareness,"35,46"
48,25,4,1,1,Awareness,"35,46,47"
49,25,4,1,6,Intervention,"35,46,48"
51,11,4,1,1,Sensitivity,-1
52,15,4,1,1,Factual,"5,6,33"
